"","communication_channel","call_duration","call_frequency","previous_campaign_outcome","conversion_status","geoid","lead_source","update_me","quater_res","len_business"
"64","mobile",544,1,"unidentified","converted","NM","Direct Traffic","N","2023 Q3",3
"65","mobile",24,14,"unidentified","not_converted","KS","Direct Traffic","N","2024 Q2",8
"66","mobile",162,2,"unsuccessful","not_converted","MS","Google","N","2023 Q1",0
"67","mobile",127,2,"other_outcome","not_converted","RI","Organic Search","Y","2024 Q2",0
"68","mobile",56,1,"unidentified","not_converted","LA","Organic Search","Y","2023 Q3",10
"69","mobile",17,7,"other_outcome","not_converted","MD","Welingak Website","N","2023 Q1",0
"70","mobile",113,1,"unidentified","not_converted","GA","Olark Chat","Y","2023 Q2",8
"71","unidentified",157,3,"unidentified","not_converted","SD","Reference","N","2024 Q1",19
"72","mobile",189,2,"unsuccessful","not_converted","HI","Google","Y","2023 Q4",16
"73","mobile",220,1,"unidentified","not_converted","CA","Direct Traffic","Y","2023 Q4",1
"74","unidentified",113,1,"unidentified","not_converted","CA","Google","N","2024 Q2",0
"76","mobile",346,1,"other_outcome","not_converted","HI","Olark Chat","N","2023 Q2",6
"77","mobile",561,9,"unidentified","converted","OK","Organic Search","Y","2023 Q4",2
"78","unidentified",105,2,"unidentified","not_converted","MT","Direct Traffic","Y","2023 Q1",0
"79","mobile",368,1,"unsuccessful","not_converted","TX","Reference","N","2024 Q1",7
"80","mobile",350,2,"unidentified","not_converted","TX","Direct Traffic","N","2023 Q4",14
"82","mobile",250,1,"other_outcome","not_converted","AL","Google","Y","2023 Q4",20
"83","mobile",25,1,"unidentified","not_converted","TX","Organic Search","Y","2023 Q2",0
"84","mobile",87,3,"unsuccessful","not_converted","TX","Organic Search","N","2023 Q2",2
"85","mobile",130,3,"unidentified","not_converted","NM","Direct Traffic","N","2024 Q2",14
"86","unidentified",260,1,"unidentified","not_converted","MS","Direct Traffic","N","2023 Q3",3
"87","mobile",375,2,"unidentified","not_converted","WY","Direct Traffic","N","2024 Q1",0
"88","mobile",559,3,"unidentified","not_converted","OR","Direct Traffic","N","2024 Q1",0
"90","unidentified",129,1,"unidentified","not_converted","GA","Direct Traffic","N","2024 Q1",0
"91","unidentified",371,1,"unidentified","not_converted","TX","Organic Search","N","2023 Q4",2
"92","mobile",106,1,"unidentified","not_converted","WA","Reference","N","2024 Q2",11
"93","mobile",200,1,"unsuccessful","not_converted","OK","Direct Traffic","N","2024 Q2",19
"94","mobile",891,2,"unidentified","not_converted","WA","Direct Traffic","Y","2024 Q2",2
"95","landline",126,4,"unidentified","not_converted","OK","Olark Chat","N","2023 Q2",19
"96","mobile",263,1,"unidentified","not_converted","TX","Direct Traffic","N","2024 Q1",5
"97","mobile",382,3,"unidentified","not_converted","NC","Olark Chat","N","2023 Q2",7
"98","unidentified",134,1,"unidentified","not_converted","PA","Olark Chat","N","2023 Q2",0
"99","mobile",235,2,"unidentified","not_converted","OK","Google","N","2023 Q4",9
"100","unidentified",37,3,"unidentified","not_converted","UT","Reference","Y","2023 Q2",8
"102","unidentified",83,1,"unidentified","not_converted","VA","Reference","N","2023 Q3",1
"103","mobile",176,2,"unidentified","not_converted","ID","Organic Search","Y","2024 Q1",0
"104","mobile",299,2,"unidentified","not_converted","NM","Olark Chat","Y","2023 Q3",6
"105","mobile",309,1,"successful","converted","MN","Olark Chat","Y","2023 Q2",0
"106","mobile",280,2,"unidentified","not_converted","MA","Organic Search","N","2023 Q3",16
"109","mobile",601,2,"unidentified","not_converted","IL","Facebook","N","2023 Q3",13
"110","unidentified",88,6,"unidentified","not_converted","GA","Google","Y","2024 Q1",0
"111","unidentified",262,1,"unidentified","not_converted","WY","Google","N","2024 Q2",8
"112","mobile",114,1,"unidentified","not_converted","TX","Google","Y","2023 Q2",7
"113","mobile",195,1,"unsuccessful","converted","DE","Direct Traffic","N","2023 Q1",12
"114","unidentified",553,1,"unidentified","not_converted","NY","Direct Traffic","Y","2024 Q1",5
"115","mobile",849,1,"unidentified","converted","CT","Organic Search","Y","2023 Q4",8
"116","unidentified",53,1,"unidentified","not_converted","SD","Organic Search","Y","2023 Q4",4
"117","unidentified",187,2,"unidentified","not_converted","NC","Olark Chat","Y","2023 Q3",9
"118","unidentified",27,1,"unidentified","not_converted","AR","Olark Chat","N","2023 Q1",14
"119","mobile",250,1,"unidentified","not_converted","AR","Organic Search","Y","2024 Q2",0
"120","mobile",168,3,"unidentified","not_converted","OK","Olark Chat","Y","2023 Q2",15
"121","mobile",75,1,"unsuccessful","not_converted","NC","Organic Search","Y","2023 Q1",12
"122","mobile",173,2,"unidentified","not_converted","NH","Direct Traffic","Y","2023 Q1",13
"123","mobile",445,1,"unsuccessful","not_converted","AR","Google","N","2023 Q3",15
"125","mobile",235,1,"unsuccessful","not_converted","CA","Olark Chat","N","2023 Q4",11
"126","mobile",320,2,"other_outcome","not_converted","CA","Olark Chat","N","2024 Q1",0
"127","unidentified",92,4,"unidentified","not_converted","UT","Olark Chat","N","2023 Q3",8
"129","mobile",156,2,"unidentified","not_converted","NJ","Olark Chat","N","2024 Q2",10
"130","unidentified",21,1,"unidentified","not_converted","AK","Olark Chat","N","2023 Q2",5
"131","unidentified",193,11,"unidentified","not_converted","NJ","Direct Traffic","Y","2024 Q1",17
"132","mobile",64,5,"other_outcome","not_converted","KS","Google","N","2023 Q4",17
"133","mobile",131,2,"unidentified","not_converted","ND","Organic Search","Y","2023 Q3",0
"134","mobile",133,4,"unidentified","not_converted","OK","Direct Traffic","Y","2024 Q2",3
"135","mobile",114,3,"unidentified","not_converted","FL","Direct Traffic","N","2023 Q4",0
"136","mobile",184,1,"unsuccessful","not_converted","WV","Direct Traffic","N","2023 Q1",0
"137","mobile",96,2,"unidentified","not_converted","CO","Olark Chat","N","2024 Q2",1
"138","unidentified",332,2,"unidentified","not_converted","ND","Direct Traffic","N","2024 Q2",0
"139","mobile",76,1,"unsuccessful","not_converted","TX","Direct Traffic","Y","2023 Q3",2
"140","mobile",426,1,"unidentified","converted","ID","Organic Search","Y","2023 Q2",0
"141","mobile",510,1,"unidentified","not_converted","WV","Referral Sites","N","2024 Q1",0
"142","mobile",469,3,"other_outcome","not_converted","IN","Olark Chat","N","2024 Q1",1
"143","mobile",121,1,"unidentified","not_converted","NH","Google","N","2024 Q2",5
"144","mobile",323,1,"unidentified","converted","TX","Direct Traffic","N","2023 Q4",12
"145","mobile",126,2,"unidentified","not_converted","MI","Direct Traffic","Y","2023 Q3",0
"146","unidentified",110,5,"unidentified","not_converted","CA","Direct Traffic","N","2023 Q3",0
"148","unidentified",98,2,"unidentified","not_converted","WV","Olark Chat","N","2023 Q4",0
"149","mobile",430,1,"unidentified","converted","GA","Google","N","2023 Q2",6
"150","mobile",337,1,"successful","converted","KY","Olark Chat","Y","2024 Q1",7
"151","mobile",545,4,"unidentified","not_converted","WI","Direct Traffic","N","2023 Q2",20
"152","mobile",292,1,"unsuccessful","not_converted","TX","Organic Search","N","2024 Q1",7
"154","unidentified",160,1,"unidentified","not_converted","NY","Google","N","2024 Q2",0
"155","mobile",31,2,"unidentified","not_converted","TN","Google","N","2023 Q2",13
"156","mobile",1145,4,"unidentified","not_converted","TX","Direct Traffic","Y","2023 Q3",0
"157","unidentified",163,2,"unidentified","not_converted","IL","Direct Traffic","N","2023 Q2",19
"159","mobile",378,1,"unidentified","not_converted","NC","Direct Traffic","Y","2023 Q3",5
"160","mobile",153,1,"unsuccessful","not_converted","MT","Google","N","2024 Q2",11
"161","mobile",310,1,"unidentified","not_converted","TX","Direct Traffic","N","2023 Q4",16
"162","mobile",179,2,"unidentified","not_converted","OK","Direct Traffic","N","2023 Q3",0
"163","mobile",212,2,"unidentified","not_converted","AK","","N","2023 Q3",20
"165","mobile",89,1,"unidentified","not_converted","HI","Google","Y","2023 Q4",17
"168","mobile",271,8,"unidentified","not_converted","ND","Olark Chat","Y","2023 Q3",8
"170","mobile",131,1,"unidentified","not_converted","FL","Direct Traffic","Y","2023 Q1",1
"171","unidentified",340,1,"unidentified","not_converted","UT","Direct Traffic","Y","2023 Q4",2
"172","unidentified",49,2,"unidentified","not_converted","MT","Direct Traffic","Y","2023 Q1",4
"173","landline",90,2,"unidentified","not_converted","NE","Google","Y","2023 Q2",10
"174","mobile",674,2,"unsuccessful","not_converted","NH","Google","N","2023 Q2",2
"175","unidentified",76,2,"unidentified","not_converted","TX","Direct Traffic","N","2024 Q2",0
"176","unidentified",55,1,"unidentified","not_converted","TX","Google","N","2023 Q4",12
"177","mobile",460,2,"unidentified","converted","CA","Google","Y","2023 Q4",0
"178","unidentified",163,2,"unidentified","not_converted","OR","Direct Traffic","Y","2023 Q2",0
"179","mobile",181,1,"unidentified","not_converted","CA","Google","Y","2023 Q4",17
"180","unidentified",174,1,"unidentified","not_converted","TX","Google","Y","2023 Q3",0
"181","unidentified",164,1,"unidentified","not_converted","CO","Organic Search","N","2023 Q3",6
"182","mobile",223,1,"unidentified","not_converted","GA","Google","Y","2023 Q4",4
"183","mobile",133,4,"unidentified","not_converted","FL","Google","N","2024 Q2",11
"184","landline",475,6,"unsuccessful","converted","LA","Organic Search","Y","2023 Q1",20
"185","mobile",114,1,"unidentified","not_converted","NC","Google","Y","2023 Q3",17
"187","unidentified",162,1,"unidentified","not_converted","OH","Google","N","2023 Q2",17
"188","unidentified",1036,5,"unidentified","converted","NH","Olark Chat","N","2024 Q2",0
"189","mobile",136,2,"unsuccessful","converted","OH","Olark Chat","Y","2023 Q2",8
"190","mobile",130,1,"unidentified","not_converted","IL","Google","N","2023 Q1",12
"191","mobile",906,2,"unidentified","not_converted","CO","Olark Chat","N","2023 Q2",17
"192","mobile",155,1,"unidentified","not_converted","MO","Olark Chat","N","2024 Q2",0
"193","mobile",174,2,"unidentified","not_converted","SC","Google","Y","2023 Q1",15
"194","unidentified",76,6,"unidentified","not_converted","MS","Google","N","2024 Q2",0
"195","unidentified",112,2,"unidentified","not_converted","CA","Google","Y","2023 Q1",0
"196","mobile",1052,2,"unidentified","not_converted","FL","Olark Chat","N","2023 Q3",6
"197","mobile",16,9,"unidentified","not_converted","NH","Direct Traffic","N","2023 Q1",15
"198","landline",126,8,"unidentified","not_converted","DE","Organic Search","N","2023 Q1",0
"199","mobile",89,23,"unidentified","not_converted","TX","Organic Search","N","2023 Q4",0
"200","mobile",443,1,"unidentified","not_converted","NM","Google","Y","2024 Q2",0
"201","mobile",134,6,"unidentified","not_converted","MT","Google","N","2024 Q1",9
"202","mobile",56,3,"unidentified","not_converted","TX","Olark Chat","N","2023 Q3",0
"203","mobile",618,1,"unidentified","not_converted","TN","Reference","N","2023 Q1",14
"204","mobile",175,1,"unidentified","not_converted","CO","Organic Search","N","2023 Q3",5
"205","mobile",152,1,"unidentified","not_converted","UT","Google","N","2024 Q2",0
"206","mobile",345,2,"other_outcome","not_converted","OR","Direct Traffic","N","2023 Q2",6
"207","mobile",515,3,"unidentified","not_converted","IA","Direct Traffic","N","2023 Q1",0
"208","mobile",168,6,"unidentified","not_converted","IN","Olark Chat","Y","2023 Q2",11
"209","mobile",113,6,"unidentified","not_converted","MD","Organic Search","Y","2023 Q3",6
"210","mobile",16,9,"unsuccessful","not_converted","ND","Google","N","2023 Q4",0
"212","unidentified",157,1,"unidentified","not_converted","TX","Google","N","2023 Q1",20
"213","mobile",509,3,"other_outcome","not_converted","WA","Organic Search","N","2023 Q2",4
"214","landline",267,1,"unsuccessful","not_converted","IN","Direct Traffic","N","2023 Q4",0
"216","mobile",243,3,"other_outcome","converted","NC","Organic Search","N","2023 Q4",0
"217","mobile",67,4,"unidentified","not_converted","TX","Organic Search","Y","2023 Q4",0
"219","unidentified",226,2,"unidentified","not_converted","IL","Direct Traffic","Y","2024 Q1",10
"220","mobile",92,2,"unidentified","converted","AK","Reference","Y","2023 Q2",0
"221","mobile",604,2,"unidentified","not_converted","OK","Direct Traffic","N","2023 Q4",8
"223","mobile",59,2,"unidentified","not_converted","WY","Google","Y","2024 Q1",0
"224","mobile",311,3,"unsuccessful","not_converted","AR","Google","Y","2023 Q2",20
"225","mobile",313,2,"unidentified","converted","FL","Reference","Y","2023 Q4",18
"226","mobile",599,2,"unidentified","not_converted","TX","Organic Search","Y","2023 Q1",17
"227","mobile",280,4,"unidentified","not_converted","NM","Direct Traffic","N","2023 Q4",1
"228","mobile",72,5,"unidentified","not_converted","KY","Reference","N","2023 Q4",19
"229","mobile",210,4,"unidentified","not_converted","TN","Direct Traffic","Y","2023 Q4",0
"230","unidentified",122,2,"unidentified","not_converted","MO","Google","N","2024 Q1",14
"231","mobile",27,7,"unidentified","not_converted","TX","Google","Y","2024 Q1",9
"232","landline",87,2,"unidentified","not_converted","NM","Olark Chat","N","2023 Q3",0
"233","mobile",79,1,"unidentified","not_converted","AL","Google","N","2023 Q1",15
"234","mobile",589,3,"other_outcome","not_converted","TX","Olark Chat","Y","2023 Q1",0
"235","mobile",93,2,"unidentified","not_converted","DE","Olark Chat","N","2023 Q3",0
"236","unidentified",94,1,"unidentified","not_converted","TX","Google","N","2023 Q2",0
"237","unidentified",1185,3,"unidentified","not_converted","OR","Organic Search","Y","2023 Q1",3
"239","mobile",144,2,"unidentified","not_converted","TX","Google","N","2023 Q2",2
"240","mobile",395,1,"successful","not_converted","VT","Olark Chat","Y","2023 Q2",0
"241","mobile",364,1,"unidentified","not_converted","NV","Organic Search","Y","2023 Q4",2
"242","mobile",246,12,"unsuccessful","not_converted","MN","Olark Chat","Y","2023 Q3",9
"243","unidentified",1252,1,"unidentified","converted","ND","Olark Chat","N","2023 Q2",0
"244","unidentified",851,4,"unidentified","not_converted","WY","Google","Y","2023 Q2",0
"245","mobile",33,1,"unsuccessful","not_converted","RI","Direct Traffic","N","2023 Q3",17
"246","mobile",165,1,"unidentified","not_converted","DE","Direct Traffic","N","2024 Q2",0
"247","mobile",491,2,"unidentified","not_converted","AK","Direct Traffic","N","2023 Q1",17
"248","mobile",542,2,"unidentified","converted","TX","Olark Chat","N","2023 Q3",10
"249","unidentified",47,1,"unidentified","not_converted","DC","Direct Traffic","Y","2023 Q1",9
"250","mobile",324,1,"unsuccessful","not_converted","ID","Olark Chat","Y","2023 Q3",0
"251","mobile",418,3,"unidentified","not_converted","DC","Google","N","2023 Q1",1
"252","unidentified",340,2,"unidentified","not_converted","KY","Google","Y","2024 Q1",14
"253","mobile",58,1,"unidentified","not_converted","TN","Olark Chat","N","2023 Q4",0
"254","mobile",111,4,"unidentified","not_converted","IA","Organic Search","N","2023 Q3",17
"255","mobile",298,1,"unidentified","not_converted","AR","Google","N","2023 Q3",7
"256","unidentified",63,1,"unidentified","not_converted","AZ","Google","Y","2024 Q2",20
"257","mobile",1094,2,"unidentified","converted","TX","Direct Traffic","N","2024 Q1",0
"258","mobile",159,1,"unidentified","not_converted","NH","Reference","N","2024 Q2",8
"259","mobile",161,2,"unidentified","not_converted","CA","Direct Traffic","Y","2024 Q2",0
"260","unidentified",154,1,"unidentified","converted","MD","Google","N","2024 Q2",0
"261","unidentified",153,2,"unidentified","not_converted","CA","Direct Traffic","N","2023 Q2",0
"262","mobile",62,2,"unidentified","not_converted","KS","Direct Traffic","Y","2024 Q1",16
"263","unidentified",534,1,"unidentified","not_converted","KS","Reference","N","2023 Q4",0
"264","unidentified",353,1,"unidentified","not_converted","MT","Olark Chat","Y","2024 Q2",0
"265","landline",208,1,"unidentified","converted","VT","Google","Y","2024 Q1",0
"266","landline",106,1,"unidentified","not_converted","KY","Organic Search","Y","2023 Q4",0
"267","mobile",227,1,"unidentified","not_converted","MI","Organic Search","Y","2024 Q1",6
"268","unidentified",771,2,"unidentified","not_converted","OH","","N","2023 Q1",10
"270","unidentified",22,12,"unidentified","not_converted","NM","Organic Search","N","2023 Q2",15
"271","mobile",196,2,"unidentified","not_converted","GA","Direct Traffic","N","2023 Q2",0
"272","mobile",143,2,"unsuccessful","not_converted","IL","Direct Traffic","Y","2023 Q3",17
"273","mobile",442,1,"unidentified","not_converted","AK","Organic Search","Y","2024 Q2",15
"274","unidentified",117,2,"unidentified","not_converted","AZ","Direct Traffic","N","2024 Q1",0
"275","unidentified",242,2,"unidentified","not_converted","MI","Google","N","2023 Q1",6
"276","unidentified",63,1,"unidentified","not_converted","NC","Direct Traffic","N","2024 Q1",17
"277","mobile",133,4,"unidentified","converted","OK","Google","N","2024 Q1",7
"278","mobile",303,1,"unsuccessful","not_converted","CT","Direct Traffic","Y","2024 Q1",0
"279","unidentified",466,2,"unidentified","not_converted","WV","Direct Traffic","N","2023 Q1",0
"281","mobile",182,3,"unidentified","not_converted","OR","Direct Traffic","N","2024 Q2",0
"282","mobile",100,1,"unidentified","not_converted","CA","Direct Traffic","N","2023 Q4",17
"283","mobile",189,2,"unidentified","not_converted","WY","Olark Chat","N","2024 Q2",10
"284","mobile",114,2,"unsuccessful","not_converted","CO","Google","N","2024 Q2",12
"285","landline",76,1,"unsuccessful","not_converted","CO","Direct Traffic","Y","2023 Q2",5
"286","unidentified",977,1,"unidentified","not_converted","TX","Olark Chat","Y","2024 Q2",0
"287","mobile",209,1,"unidentified","converted","AZ","Direct Traffic","N","2023 Q4",0
"288","unidentified",356,1,"unidentified","not_converted","IA","Google","N","2023 Q3",9
"289","unidentified",204,4,"unidentified","not_converted","OK","Reference","N","2024 Q1",0
"290","mobile",127,1,"unidentified","not_converted","DC","Google","N","2023 Q1",14
"291","unidentified",154,1,"unidentified","not_converted","CO","Olark Chat","N","2023 Q2",0
"292","unidentified",117,2,"unidentified","not_converted","MI","Organic Search","N","2024 Q2",0
"293","mobile",847,1,"successful","converted","CO","Welingak Website","Y","2023 Q4",12
"294","mobile",12,7,"unsuccessful","not_converted","CA","Google","N","2023 Q4",16
"296","unidentified",159,1,"unidentified","not_converted","HI","Google","Y","2023 Q4",5
"297","mobile",318,1,"unsuccessful","not_converted","HI","Google","Y","2023 Q4",3
"298","mobile",148,2,"unidentified","not_converted","MN","Reference","Y","2023 Q3",9
"299","mobile",118,8,"unidentified","not_converted","IL","Direct Traffic","N","2024 Q2",0
"300","mobile",203,1,"unidentified","not_converted","MO","Referral Sites","Y","2023 Q4",19
"301","mobile",591,1,"unidentified","not_converted","VA","Google","N","2024 Q1",13
"303","mobile",292,4,"other_outcome","not_converted","LA","Google","Y","2023 Q2",9
"304","mobile",284,1,"successful","not_converted","LA","Google","Y","2023 Q4",0
"305","mobile",757,2,"unidentified","not_converted","TX","bing","N","2023 Q2",0
"306","mobile",377,3,"unidentified","not_converted","SD","Google","Y","2023 Q3",2
"307","mobile",151,1,"unidentified","not_converted","VA","Direct Traffic","Y","2023 Q2",0
"308","unidentified",110,2,"unidentified","not_converted","MI","Direct Traffic","N","2024 Q2",0
"309","mobile",78,1,"unsuccessful","not_converted","AL","Reference","N","2023 Q3",0
"310","landline",141,4,"unidentified","not_converted","ND","Google","Y","2023 Q1",18
"311","mobile",123,1,"unidentified","not_converted","PA","Direct Traffic","N","2024 Q2",0
"312","mobile",237,2,"unidentified","not_converted","PA","Reference","N","2023 Q3",8
"313","mobile",309,2,"unidentified","not_converted","WA","Olark Chat","N","2024 Q1",16
"315","mobile",101,1,"unidentified","not_converted","WA","Organic Search","Y","2023 Q1",0
"316","mobile",598,4,"unsuccessful","converted","AL","Direct Traffic","N","2023 Q4",0
"317","landline",325,1,"unidentified","not_converted","NH","Google","N","2023 Q1",13
"318","mobile",498,1,"successful","not_converted","LA","Olark Chat","N","2023 Q1",0
"319","unidentified",192,1,"unidentified","not_converted","CO","Reference","Y","2024 Q2",14
"321","mobile",117,3,"unidentified","not_converted","OK","Olark Chat","N","2024 Q2",1
"322","mobile",212,1,"unidentified","not_converted","CA","Organic Search","N","2024 Q1",0
"323","mobile",169,2,"unidentified","not_converted","WV","Reference","N","2024 Q2",6
"324","mobile",307,1,"unidentified","not_converted","CA","Direct Traffic","N","2023 Q1",10
"325","unidentified",9,5,"unidentified","not_converted","NC","Organic Search","N","2023 Q3",20
"326","mobile",572,1,"unidentified","converted","TX","Reference","Y","2023 Q4",12
"328","mobile",580,1,"unidentified","converted","TX","Organic Search","N","2023 Q4",0
"329","mobile",211,2,"unidentified","not_converted","SD","Direct Traffic","Y","2023 Q2",6
"330","mobile",46,1,"unidentified","not_converted","WI","Organic Search","Y","2023 Q1",14
"331","unidentified",225,2,"unidentified","not_converted","TX","Direct Traffic","Y","2023 Q3",0
"332","mobile",181,2,"unidentified","not_converted","CT","Google","Y","2024 Q1",11
"333","mobile",156,2,"unidentified","not_converted","UT","Google","N","2023 Q1",9
"334","mobile",692,3,"unidentified","converted","OR","Google","Y","2024 Q2",0
"335","unidentified",29,1,"unidentified","not_converted","WY","Direct Traffic","Y","2023 Q2",19
"336","landline",35,1,"unidentified","not_converted","NJ","Google","N","2024 Q2",5
"338","mobile",620,1,"unidentified","not_converted","WY","Olark Chat","N","2024 Q1",14
"339","unidentified",171,2,"unidentified","not_converted","MT","Direct Traffic","Y","2024 Q1",4
"340","unidentified",67,2,"unidentified","not_converted","AZ","Organic Search","N","2024 Q1",17
"341","mobile",54,3,"unidentified","not_converted","WY","Reference","N","2023 Q2",0
"342","unidentified",221,2,"unidentified","not_converted","UT","Welingak Website","N","2024 Q2",5
"343","unidentified",6,1,"unidentified","not_converted","NY","Google","Y","2023 Q3",6
"344","unidentified",198,2,"unidentified","not_converted","AR","Google","N","2024 Q1",4
"345","unidentified",70,2,"unidentified","not_converted","NM","Google","N","2024 Q1",0
"346","mobile",835,2,"unidentified","not_converted","MN","Olark Chat","N","2023 Q3",19
"347","unidentified",116,1,"unidentified","not_converted","GA","Olark Chat","N","2023 Q4",0
"348","unidentified",445,2,"unidentified","not_converted","NY","Direct Traffic","N","2024 Q2",20
"349","mobile",338,1,"unidentified","converted","CA","Direct Traffic","Y","2024 Q1",15
"350","unidentified",14,1,"unidentified","not_converted","ID","Direct Traffic","Y","2023 Q3",14
"351","unidentified",189,5,"unidentified","not_converted","HI","Organic Search","N","2023 Q4",0
"352","mobile",574,1,"unidentified","converted","IN","Organic Search","N","2023 Q2",0
"353","unidentified",61,2,"unidentified","not_converted","PA","Google","N","2023 Q1",3
"354","landline",27,1,"unidentified","not_converted","NM","Google","Y","2023 Q1",19
"355","mobile",92,7,"unidentified","not_converted","DC","Google","N","2024 Q1",0
"356","mobile",187,1,"other_outcome","not_converted","RI","Olark Chat","N","2024 Q2",13
"357","unidentified",38,3,"unidentified","not_converted","TN","Direct Traffic","N","2024 Q1",8
"358","mobile",196,2,"unsuccessful","not_converted","IA","Direct Traffic","N","2023 Q2",0
"359","mobile",1111,1,"unidentified","not_converted","NJ","Organic Search","N","2023 Q4",9
"360","unidentified",52,1,"unidentified","not_converted","AZ","Direct Traffic","N","2023 Q4",0
"361","mobile",106,1,"unidentified","not_converted","TX","Direct Traffic","Y","2023 Q4",0
"362","mobile",137,1,"unidentified","not_converted","TX","Olark Chat","Y","2024 Q2",15
